SECCION,DESCRIPCION,PRECIO_LISTA_SINIVA,PVP_SUGERIDO
RHEEM,,,
RHEEM,TERMOTANQUE ELÉCTRICO COLGAR  85 LITROS RHEEM,586021,709085
RHEEM,TERMOTANQUE ELÉCTRICO COLGAR 125 LITROS RHEEM,667726,807949
RHEEM,TERMOTANQUE ELÉCTRICO PIE  85 LITROS RHEEM,570574,690395
RHEEM,TERMOTANQUE ELÉCTRICO PIE 125 LITROS RHEEM,638045,772035
RHEEM,TERMOTANQUE ELÉCTRICO PIE 155 LITROS RHEEM,709082,857989
RHEEM,TERMOTANQUE GAS NATURAL PIE  80 LITROS RHEEM,736194,890795
RHEEM,TERMOTANQUE GAS NATURAL PIE 120 LITROS RHEEM,808677,978499
RHEEM,TERMOTANQUE GAS NATURAL PIE 150 LITROS RHEEM,870963,1053865
RHEEM,TERMOTANQUE GAS NATURAL COLGAR  80 LITROS RHEEM,774660,937339
RHEEM,TERMOTANQUE FUNCTIONAL ELÉCTRICO COLGAR  85 LITROS RHEEM,507376,613925
RHEEM,TERMOTANQUE FUNCTIONAL ELÉCTRICO PIE  85 LITROS RHEEM,480938,581935
RHEEM,TERMOTANQUE FUNCTIONAL ELÉCTRICO PIE 125 LITROS RHEEM,529057,640159
RHEEM,TERMOTANQUE FUNCTIONAL GAS NATURAL PIE  80 LITROS RHEEM,602087,728525
RHEEM,TERMOTANQUE FUNCTIONAL GAS NATURAL PIE 120 LITROS RHEEM,674492,816135
RHEEM,TERMOTANQUE FUNCTIONAL GAS NATURAL PIE 150 LITROS RHEEM,723801,875799
RHEEM,TERMOTANQUE ALTA POTENCIA GAS NATURAL 160 LITROS RHEEM,1065401,1289135
RHEEM,TERMOTANQUE ALTA POTENCIA GAS ENVASADO 160 LITROS RHEEM,1065401,1289135
RHEEM,TERMOTANQUE COMERCIAL TERMOPILA 250 LITROS GAS NATURAL RHEEM,4916024,5948389
RHEEM,TERMOTANQUE COMERCIAL TERMOPILA 250 LITROS GAS ENVASADO RHEEM,4916024,5948389
RHEEM,TERMOTANQUE COMERCIAL TERMOPILA 300 LITROS GAS NATURAL RHEEM,5366343,6493275
RHEEM,TERMOTANQUE COMERCIAL TERMOPILA 300 LITROS GAS ENVASADO RHEEM,5366343,6493275
RHEEM,TERMOTANQUE COMERCIAL ELÉCTRICO 255 LITROS RHEEM,2411632,2918075
RHEEM,TERMOTANQUE COMERCIAL ELÉCTRICO 255 LITROS ALTA RECUPERACIÓN RHEEM,3493186,4226755
SAIAR,,,
SAIAR,TERMOTANQUE ELÉCTRICO PIE  55 LITROS SAIAR,396726,480039
SAIAR,TERMOTANQUE ELÉCTRICO PIE  85 LITROS SAIAR,451376,546165
SAIAR,TERMOTANQUE ELÉCTRICO PIE 125 LITROS SAIAR,512847,620545
SAIAR,TERMOTANQUE ELÉCTRICO COLGAR  55 LITROS SAIAR,430098,520419
SAIAR,TERMOTANQUE ELÉCTRICO COLGAR  85 LITROS SAIAR,487789,590225
SAIAR,TERMOTANQUE MULTIGAS PIE  50 LITROS SAIAR,456578,552459
SAIAR,TERMOTANQUE MULTIGAS PIE  80 LITROS SAIAR,509897,616975
SAIAR,TERMOTANQUE MULTIGAS PIE 120 LITROS SAIAR,584012,706655
SAIAR,TERMOTANQUE MULTIGAS PIE 150 LITROS SAIAR,635979,769535
SAIAR,TERMOTANQUE MULTIGAS COLGAR  50 LITROS SAIAR,519032,628029
SAIAR,TERMOTANQUE MULTIGAS COLGAR  80 LITROS SAIAR,574227,694815
SHERMAN,,,
SHERMAN,TERMOTANQUE ELÉCTRICO CONTINUO COLGAR  55 LITROS SHERMAN,382379,462679
SHERMAN,TERMOTANQUE ELÉCTRICO CONTINUO COLGAR  85 LITROS SHERMAN,414503,501549
SHERMAN,TERMOTANQUE ELÉCTRICO CONTINUO PIE  55 LITROS SHERMAN,353095,427245
SHERMAN,TERMOTANQUE ELÉCTRICO CONTINUO PIE  85 LITROS SHERMAN,384707,465495
SHERMAN,TERMOTANQUE MULTIGAS PIE  50 LITROS SHERMAN,354897,429425
SHERMAN,TERMOTANQUE MULTIGAS PIE  80 LITROS SHERMAN,392346,474739
SHERMAN,TERMOTANQUE MULTIGAS PIE 120 LITROS SHERMAN,458123,554329
